municipality,urban,renda_dom_pc,population,agua_canalizada,sem_banheiro,esgoto_rede,esgoto_fossa,lixo_coleta,mort_1to4yrs,mort_less1yr,mort_total
350380,1.0071825822232077,369.6004492340698,33123.99999964,1.0570476915168596,0.004774597051131506,0.9599323634826014,0.10481037174704402,0.9723847664720172,2,5,185
350390,1.032910238269655,435.1561920274416,59185.00000028,1.040462350167309,0.017247978182695328,0.2935462484139763,0.6855630782589903,0.9908996611113713,3,20,348
350395,0.3510079342282918,108.00024490730186,1860.99999995,0.5300954925661444,0.04841683353318261,0.3631548338165033,0.15819826324537556,0.36062305555133417,0,0,23
350400,1.0368726496494671,475.887046658449,87251.00000016,1.0270911764637132,0.01457429047941907,1.0163504248799269,0.04700514830482738,0.9978143518560804,4,16,684
350410,0.881629463421453,563.151744233105,111300.00000078,1.0058746677665684,0.019728928500436168,0.5205838516351288,0.47974923721228213,0.912663401443377,5,29,763
350420,0.45851644779659206,180.27723445697902,13513,0.5238399887504035,0.010357299158998984,0.4280210771842667,0.0957375121573569,0.45603434515244123,0,7,89
350430,0.36000069951128766,137.97245769796902,4596.00000022,0.49601829828585753,0.010899610209108089,0.3178501112080935,0.17931653938838382,0.33316157110654904,0,1,39
350440,0.48607358752105234,127.71924160475402,8828.99999973,0.5272771550386264,0.021385010739269277,0.46911551682748176,0.059101208213380364,0.4833951164433744,0,4,48
350450,1.0227841970614429,440.35703599166175,76471.99999982,0.9631635288810153,0.035133165269867,0.9759187182990594,0.07048942723090379,0.9163939464987917,2,13,556
350460,0.47588830725226583,182.45590031458346,11550.00000004,0.5328983671815206,9.08354643139291e-4,0.46709678304943925,0.06801214215171242,0.48405068945479496,0,1,63
350470,0.4288769284719449,129.89928717768026,1313.00000006,0.5200277803185301,0,0.42406255403251447,0.07188460671990222,0.42406255403251447,0,0,6
350480,0.46694147488568266,196.24490609861033,7340.00000017,0.5188854597083509,0.007988946714558019,0.4474720352457612,0.07256102970403255,0.45668238074611983,0,2,61
350490,0.3657925903960298,176.95017078357682,9713.00000006,0.5078029564404284,0.012967012329564936,0.32319191237373496,0.08844010061005791,0.3961629296967579,1,2,75
350500,0.2970118411936454,105.8217310677427,2794.00000025,0.5002897334393168,0.07075721548514517,0.2799424389432531,0.2250060445555383,0.3474576174472659,0,0,34
350510,0.41046561600652987,122.87176505370107,5837.00000016,0.4881835354062102,0.030310123569685706,0.42662893100988714,0.0826960793829554,0.4316019193178874,1,2,40
350520,0.9900317229843696,406.134144067731,28223.99999939,1.0579272800963364,0.004727724413572611,1.0009082571502146,0.06799420921499842,0.9946150062017187,0,7,226
350530,1.034274608663197,420.69194838949375,35486.999999910004,1.0420809145200551,0.005103495312186918,1.0223084985776414,0.025827835056651465,1.020088252502474,0,5,202
350535,0.14783226823232343,59.09140659433398,4846.00000019,0.4339270683716097,0.2092340942738091,0.09292316406701201,0.24157921212922298,0.15208700155046007,1,2,25
350540,0.17359045927265204,71.75748393531097,8108.00000007,0.45500528540752644,0.13831562039687192,0.16255601009656626,0.16981322950940564,0.19135083908862702,0,1,48
350550,1.0214143634209785,472.7165434314554,103913.00000032,1.0338214900647806,0.015050711693567427,0.9940515978996631,0.05831378262463275,0.9808791888446453,7,11,853
350560,1.091459084055459,260.632797047188,24206.99999988,1.0487434872810373,0.041573539599172975,1.0339345238885493,0.016622530117443406,1.0318427101713985,2,3,134
