municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
520420,143,123,5,0,0,0,7
520425,542,434,4,0,0,2,66
520430,571,395,39,0,0,2,86
520440,550,436,43,0,0,4,114
520450,2961,1719,250,1,1,17,450
520455,230,180,31,0,0,1,20
520460,221,152,35,0,0,0,23
520465,285,214,0,1,1,0,23
520470,539,433,43,0,0,2,69
520480,380,264,32,0,0,2,21
520485,397,324,10,0,0,0,37
520490,818,667,1,0,0,3,125
520495,364,253,20,0,0,2,42
520500,400,340,14,0,0,1,67
520505,289,222,54,0,0,0,32
520510,861,448,0,1,0,12,594
520520,313,201,44,0,0,1,31
520530,637,463,16,0,0,3,51
520540,788,453,57,0,0,4,133
520545,310,249,0,0,0,4,62
520547,514,307,55,1,1,4,33
520549,1764,1142,420,1,1,15,245
520551,827,617,117,0,0,0,108
520552,249,140,21,0,0,1,24
520570,178,147,9,0,0,1,14
520580,393,257,63,1,0,1,64
520590,712,573,48,0,0,0,70
520620,1823,1316,235,1,1,13,226
520630,242,140,0,0,0,0,17
520640,584,423,41,0,1,5,102
520650,251,200,12,0,0,1,26
520660,225,129,14,0,0,0,24
520670,274,144,0,0,0,0,22
520680,220,99,35,0,0,1,21
520690,306,96,14,0,0,0,14
520710,197,147,22,0,0,0,13
520725,419,257,52,0,0,1,41
520735,405,368,0,0,0,0,29
520740,533,387,0,0,0,4,68
520750,245,156,61,0,0,0,30
520753,433,273,9,0,0,0,37
520760,307,138,57,1,1,2,41
520780,347,217,40,0,0,1,84
520790,707,631,20,0,0,1,50
520800,2737,2292,132,1,0,22,607
520810,239,145,12,0,0,1,22
520815,254,165,16,0,0,1,13
520830,285,168,80,0,0,1,33
520840,399,276,63,0,0,3,71
520850,202,112,18,0,0,2,43
