employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
418,220,160,1,1,0,1
541,258,60,1,1,0,1
2012,1100,86,0,1,0,1
1033,511,93,0,1,1,1
252,67,10,0,0,1,1
1176,997,77,0,1,0,0
372,307,22,0,1,1,1
436,307,35,0,0,0,0
1250,803,211,1,1,0,0
968,497,265,0,1,0,0
2103,1016,140,0,1,1,1
340,188,45,1,0,1,1
1104,223,66,0,0,0,0
1047,695,138,0,0,0,0
229,187,27,0,1,1,1
276,176,22,0,0,0,0
963,535,37,0,0,0,0
1621,854,175,0,1,1,1
631,368,41,1,1,1,1
358,206,33,0,1,0,0
524,400,25,0,0,0,0
670,588,78,0,0,1,1
412,312,56,0,0,0,0
472,379,40,0,1,1,1
226,146,31,0,1,1,1
964,722,39,0,1,0,1
1414,1078,51,0,0,0,0
861,758,72,0,1,0,0
248,179,35,0,0,1,1
1942,908,24,0,1,0,1
5468,2559,290,1,1,0,1
182,137,22,0,1,0,1
1908,1473,61,1,1,1,1
220,195,22,0,1,0,0
185,93,28,0,0,0,0
453,336,48,1,1,0,0
1198,820,165,0,0,0,0
927,498,45,0,1,1,1
682,557,58,0,0,0,0
516,235,228,1,0,1,1
537,430,28,0,1,1,1
151,102,15,1,0,0,1
823,0,50,0,0,0,1
642,275,126,0,1,0,1
686,269,31,0,0,0,0
203,175,10,0,1,1,1
785,0,25,0,1,0,1
2193,1420,67,1,1,1,1
813,675,46,0,0,0,0
1801,961,78,0,1,1,1
6627,3630,391,1,1,1,1
941,0,57,1,1,1,0
414,81,43,1,0,1,1
437,242,9,0,0,0,0
1764,1142,190,0,1,1,1
1015,404,112,0,1,0,0
378,276,22,0,0,1,1
1217,937,104,0,1,1,1
233,189,25,0,0,0,1
309,242,29,0,0,0,0
468,318,57,0,0,0,1
262,245,17,0,1,1,1
13907,12577,862,1,1,1,1
606,184,27,0,1,1,1
2162,1393,135,0,1,1,1
751,605,44,0,0,0,0
1244,834,74,0,0,0,0
874,689,106,0,1,1,1
351,0,18,0,1,1,1
200,71,101,0,0,0,0
606,132,200,0,0,0,0
728,0,52,1,0,1,1
606,562,23,0,1,1,1
366,340,16,0,1,0,1
402,267,48,1,0,0,0
2834,1609,355,1,1,1,1
350,259,43,0,0,0,1
269,0,9,0,0,0,0
1231,715,30,1,1,0,0
675,425,39,0,0,1,0
263,211,8,1,1,0,1
343,287,24,0,0,1,0
363,193,24,0,1,1,1
404,346,43,0,0,0,0
358,272,9,0,1,1,1
2150,1883,168,0,1,0,0
369,200,127,0,1,0,0
195,152,24,0,1,0,1
832,577,11,1,1,0,0
180,111,28,0,0,1,1
164,55,26,0,0,0,0
625,415,58,0,1,1,1
10656,5769,1375,1,1,0,1
737,479,78,0,1,0,1
472,0,32,0,1,0,0
236,0,37,0,1,0,1
281,152,32,0,0,1,1
1815,813,121,0,1,0,0
8642,5629,886,1,1,0,1
341,196,60,0,0,0,0
197,166,9,0,1,0,1
6495,150,657,0,1,0,1
171,165,5,0,0,0,1
262,212,19,0,1,0,1
2406,1488,109,0,1,0,0
259,102,20,0,0,0,1
316,130,37,0,1,1,0
413,188,82,0,0,0,0
220,189,14,0,1,0,1
289,230,17,0,1,0,1
269,234,14,0,1,1,1
268,155,26,0,0,0,0
763,645,37,0,1,0,0
813,354,64,1,1,1,1
8968,5335,731,1,1,1,1
277,206,35,0,0,1,1
200,160,25,1,0,0,1
596,408,57,0,0,0,0
221,169,17,1,1,0,0
357,207,25,0,0,0,0
897,0,139,0,0,0,0
824,426,162,0,1,0,1
637,392,105,0,0,1,1
505,246,29,0,0,1,1
140,105,19,0,1,0,1
962,275,155,0,0,0,0
207,156,14,0,0,1,1
579,504,59,1,0,0,0
336,192,15,0,0,1,1
